"","condition","worker_id","education","english_native","gender","age","religion","comments","trialNum","swatch","response","responseCoded","rt","country"
"77","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",29,"BI2A00022","definitely no",-3,1690,"india"
"78","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",30,"BI2A00021","definitely no",-3,1188,"india"
"79","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",31,"BI2A00038","definitely no",-3,1043,"india"
"80","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",32,"BI2A00039","probably no",-2,1484,"india"
"81","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",33,"BI2A00047","probably no",-2,1373,"india"
"82","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",34,"BI2A00031","probably no",-2,1777,"india"
"83","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",35,"BI2A00027","probably no",-2,1506,"india"
"84","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",36,"BI2A00028","definitely no",-3,1707,"india"
"85","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",37,"BI2A00029","definitely no",-3,1078,"india"
"86","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",38,"BI2A00014","probably no",-2,1199,"india"
"87","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",39,"BI2A00008","definitely no",-3,2303,"india"
"88","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",40,"BI2A00003","definitely no",-3,823,"india"
"89","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",41,"BI2A00026","probably no",-2,1335,"india"
"90","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",42,"BI2A00044","definitely no",-3,1218,"india"
"91","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",43,"BI2A00037","definitely no",-3,1666,"india"
"92","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",44,"BI2A00035","probably no",-2,943,"india"
"93","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",45,"BI2A00012","definitely no",-3,1883,"india"
"94","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",46,"BI2A00007","probably no",-2,1845,"india"
