"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comp_check","comments","trialNum","swatch","response","responseCoded","rt","country"
"74","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",26,"BI2A00033","probably no",-2,2184,"india"
"75","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",27,"BI2A00035","definitely no",-3,1647,"india"
"76","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",28,"BI2A00037","definitely no",-3,1248,"india"
"77","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",29,"BI2A00010","definitely no",-3,58,"india"
"78","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",30,"BI2A00023","definitely no",-3,1024,"india"
"79","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",31,"BI2A00018","definitely no",-3,1100,"india"
"80","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",32,"BI2A00034","definitely no",-3,997,"india"
"81","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",33,"BI2A00040","definitely no",-3,70,"india"
"82","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",34,"BI2A00003","definitely yes",3,1913,"india"
"83","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",35,"BI2A00032","definitely no",-3,2668,"india"
"84","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",36,"BI2A00044","definitely no",-3,953,"india"
"85","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",37,"BI2A00021","definitely no",-3,739,"india"
"86","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",38,"BI2A00011","definitely yes",3,2309,"india"
"87","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",39,"BI2A00008","definitely yes",3,1468,"india"
"88","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",40,"BI2A00030","definitely no",-3,1700,"india"
"89","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",41,"BI2A00013","definitely no",-3,42,"india"
"90","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",42,"BI2A00006","definitely yes",3,1683,"india"
"91","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",43,"BI2A00036","definitely no",-3,1463,"india"
"92","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",44,"BI2A00015","equally yes/no",0,4780,"india"
"93","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",45,"BI2A00039","definitely no",-3,1429,"india"
"94","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",46,"BI2A00028","definitely no",-3,1200,"india"
"95","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",47,"BI2A00031","definitely no",-3,1975,"india"
"96","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",48,"BI2A00024","definitely yes",3,2011,"india"
"97","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",1,"BI2A00004","definitely yes",3,5645,"india"
"98","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",2,"BI2A00041","definitely no",-3,3461,"india"
"99","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",3,"BI2A00031","definitely no",-3,1757,"india"
"100","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",4,"BI2A00040","definitely no",-3,1510,"india"
"101","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",5,"BI2A00002","definitely yes",3,1925,"india"
"102","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",6,"BI2A00022","definitely no",-3,2838,"india"
"103","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",7,"BI2A00003","definitely yes",3,1808,"india"
"104","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",8,"BI2A00018","definitely no",-3,5454,"india"
"105","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",9,"BI2A00016","probably no",-2,7710,"india"
"106","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",10,"BI2A00023","definitely no",-3,2789,"india"
"107","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",11,"BI2A00021","definitely no",-3,3054,"india"
"108","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",12,"BI2A00046","definitely no",-3,1079,"india"
"109","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",13,"BI2A00011","definitely yes",3,2942,"india"
"110","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",14,"BI2A00007","definitely yes",3,1862,"india"
"111","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",15,"BI2A00042","definitely no",-3,2901,"india"
"112","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",16,"BI2A00026","probably no",-2,3639,"india"
"113","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",17,"BI2A00025","definitely no",-3,2229,"india"
"114","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",18,"BI2A00020","maybe no",-1,6902,"india"
"115","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",19,"BI2A00038","definitely no",-3,2436,"india"
"116","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",20,"BI2A00014","maybe yes",1,5446,"india"
"117","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",21,"BI2A00015","probably yes",2,2398,"india"
"118","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",22,"BI2A00030","definitely no",-3,1518,"india"
"119","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",23,"BI2A00032","definitely no",-3,918,"india"
"120","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",24,"BI2A00009","definitely yes",3,2804,"india"
"121","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",25,"BI2A00017","definitely no",-3,1758,"india"
"122","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",26,"BI2A00028","maybe no",-1,3950,"india"
"123","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",27,"BI2A00035","definitely no",-3,1294,"india"
"124","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",28,"BI2A00006","definitely yes",3,3572,"india"
"125","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",29,"BI2A00001","probably no",-2,4107,"india"
"126","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",30,"BI2A00048","definitely no",-3,1382,"india"
"127","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",31,"BI2A00024","maybe yes",1,8430,"india"
"128","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",32,"BI2A00033","definitely no",-3,1575,"india"
"129","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",33,"BI2A00036","definitely no",-3,1198,"india"
"130","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",34,"BI2A00013","probably yes",2,3119,"india"
"131","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",35,"BI2A00045","definitely no",-3,1597,"india"
"132","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",36,"BI2A00037","definitely no",-3,2333,"india"
"133","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",37,"BI2A00027","definitely no",-3,2206,"india"
"134","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",38,"BI2A00008","definitely yes",3,3733,"india"
"135","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",39,"BI2A00044","definitely no",-3,1606,"india"
"136","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",40,"BI2A00012","maybe no",-1,4975,"india"
"137","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",41,"BI2A00043","definitely no",-3,7751,"india"
"138","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",42,"BI2A00029","definitely no",-3,2449,"india"
"139","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",43,"BI2A00034","definitely no",-3,8,"india"
"140","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",44,"BI2A00005","definitely yes",3,5256,"india"
"141","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",45,"BI2A00010","maybe yes",1,3038,"india"
"142","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",46,"BI2A00019","probably yes",2,1838,"india"
"143","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",47,"BI2A00047","definitely no",-3,2382,"india"
"144","animal","A3Z8J9G2CIQ0U","college_bachDegree",NA,"asian_southAsian","female",46,"hinduism","I think that this is an animal","",48,"BI2A00039","definitely no",-3,998,"india"
"145","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",1,"BI2A00028","definitely yes",3,7271,"india"
"146","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",2,"BI2A00021","maybe yes",1,4275,"india"
"147","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",3,"BI2A00024","definitely yes",3,3477,"india"
"148","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",4,"BI2A00026","maybe yes",1,3765,"india"
"149","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",5,"BI2A00019","definitely yes",3,5637,"india"
"150","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",6,"BI2A00020","definitely yes",3,2190,"india"
"151","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",7,"BI2A00042","definitely no",-3,3484,"india"
"152","animal","AUD3A4YDWWZCY","grad_degree",NA,"asian_southAsian","female",36,"hinduism","I THINK THE PICTURE SHOWN IS AN ANIMAL","NOTHING TO SAY EVERYTHING IS GOOD IN THIS SURVEY",8,"BI2A00006","definitely yes",3,1989,"india"
